id,old,new
1,Yaxşı oldu tәşrif gәtirdiniz.,Gəlməyiniz yaxşı oldu.
2,"Tәvәqqe elәyirәm mirzә Cәlala nәsihәt elәyәsiniz ki, dәrslәrinә can yandırsın.","Ümid edirəm, Mirzə Cəlala dərslərinə diqqət yetirməsi üçün məsləhət verərsiniz."
3,"Bağışlayın, İskәndәr bәy, hәrçәnd bәndәnin tәrәfindәn küstaxlıqdır sizә nәsihәt elәmәk, amma uşaq tayfasına o cür sözlәri demәyiniz bir az bicadır.","Bağışlayın, İskəndər bəy, uşaqlara belə sözlər deməyin düzgün deyil."
4,"Mәn dәrs oxumamış elә xәyal elәrdim ki, dünyada bir zad bilirәm; amma elm oxuyandan sonra yәqin elәdim ki, heç zad bilmirәm.","Dərs oxumamışdan əvvəl düşünürdüm ki, dünyada bir şey bilirəm, amma oxuduqca başa düşdüm ki, heç nə bilmirəm."
5,Mәn dә sәnin yanından getmәnәm.,Mən də sənin yanından ayrılmayacağam.
6,"Gәl yapışım әlindәn, baş alıb bu vilayәtdәn çıxıb, qoyub gedәk.","Gəl, əlindən tutum, bu vilayəti tərk edib gedək."
7,Dәm qәnimәtәst.,Vaxt yaxşıdır.
8,Dәxi niyә durubsan?,Niyə hələ də durursan?
9,"Qaşında, dәhanında, dodağında eyib yox.","Qaşın, çənən və dodağın sağlamdır."
10,"Bir zәrrәcә zülfündә, buxağında eyib yox.",Saçında və yanağında heç bir qüsur yoxdur.
11,"Yәni lap dirilib, qәbirdәn çıxıb eşiyә?","Elə bil, dirilib, qəbirdən çıxıb qapıya gəlib?"
12,"Hәlә bir para namәrdlәr müsәlmanlara mәzәmmәt elәyirlәr ki, uşaqlarını dәrsә qoymurlar.","Bir qrup kişi müsəlmanları tənqid edir ki, uşaqları dərs oxumur."
13,"Yәni mәn başı küllü bilirdim ki, axırı belә olacaq.","Başladıqda bilirdim ki, sonunda belə olacaq."
14,"Allaha şükür, mәqdurun var.","Şükür Allaha, yardımçı var."
15,"İncinar olsun, hәkim olsun, silitçi olsun.","İncinar olsun, həkim olsun, təmizləyici olsun."
16,Divanxanalarda heç mirzәliyә dә götürmürlәr. ,Divanxanalarda heç kim mirzəni qəbul etmir.
17,Allah baisin evini yıxsın.,Allah evini dağıtsın.
18,"Bari pәrvәrdigara, sәnin qüdrәtini tәrif elәmәyә dilim laldır.","Amma Allahım, sənin qüdrətini tərifləməyə söz tapmıram."
19,"Ay ana, yazıq ana, dәxi qüssә elәmә, oğlun Kәrbәlayı Fәtulah dirilib. ","Ana, incimə, oğlun Kərbəlai Fətulah sağ-salamat qayıdıb."
20,Bir neçә gündәn sonra sәnә Xorasandan qırmızı başmaq gәtirәcәk.,Bir neçə gün sonra sənə Xorasandan qırmızı başmaq gətiriləcək.
21,"Min lәnәt olsun o kәslәrә ki, xudavәndi-alәmin hikmәtinә şәkk gәtirәlәr!","O kəslərə lənət olsun ki, Allahın hikmətinə şübhə gətirirlər!"
22,Mәn vә mәndәn savayı yüz on dörd nәfәr qәbirdәn ricәt edib.,Mən və mənimlə birlikdə 114 nəfər qəbirdən dua etdik.
23,"Ancaq indi müxtәsәr surәtdә bunu deyә bilәrәm ki, Mәşhәdi-müqәddәsdә bir abid peyda olub, bunun ismi-şәrifi Şeyx Nәsrullahdır.","İndi qısa şəkildə deyə bilərəm ki, Məşhədi-müqəddəsdə bir abid peyda olub, adı Şeyx Nəsrullahdır."
24,"Şeyx cәnabları neçә illәr ilә İsfahanda ülumi-xәfiyyatı tәhsil edәndәn sonra, tәşrif gәtiriblәr Xorasana.",Şeyx cənabları bir neçə il İsfahanda elmi-təhsil aldıqdan sonra Xorasana gəliblər.
25,"Burada neçә ay riyazәti-tam vә mücahideyi-lakәlamdan sonra, hәmin elmin xәfayasının istinbatına vә istixracına müttәle olub.",Burada bir neçə ay riyazət və elm çalışmasından sonra elmin tətbiqini öyrəniblər.
26,"Axırda bu niyyәtә düşüb ki, sübhanә vә tәalanın mәrhәmәtilә tәsxiri-әrvahә iqdam elәsin.","Axırda məqsəd belə olub ki, Allahın mərhəməti ilə ruhları xilas etsin."
27,"Macәranın tәfsilini, inşallah, gәlәndә özüm dil-cavabı nağıl elәrәm vә sәn eşidib mat vә heyran qalarsan. ","Macəranın təfsilini gələcəkdə özüm danışacağam, eşidəndə təəccüblənəcəksiniz."
28,"Cәmadiyәl-axirin on sәkkizinci günü, qәmәr süfla alәminә yavuqlaşan saatda, şeyx cәnabları Mәşhәdi-müqәddәsdә qürәba qәbristanına әhli-qübur ziyarәtinә gәlib.","Cəmadiyəl-axirin 18-ci günü, ayın qürub saatında, Şeyx cənabları Məşhədi-müqəddəsdə qəbirləri ziyarət edib."
29,"Tәsxirül-әmvat şәraitini әmәlә gәtirәndәn sonra, әvvәl başlayıb bir dua oxumağa vә sonra uca sәslә deyib.","Təsxirül-əvmat mərasimini etdikdən sonra əvvəl dua oxudu, sonra uca səslə danışdı."
30,"Gördüm başımın üstündә bir şәxs durub, uca qamәtli, qırx yaşında, abidi-saleh vә rәhmdil, siyәhçeşm vә rәngi-ruyi-mübarәkәş bәsәbzә mail vә ismi-mübarәkәş Şeyx Nәsrullah İsfәhani.","Başımın üstündə bir şəxs durdu, uca boylu, 40 yaşında, abid və saleh, gözləri qara, üzü xeyirxah, adı Şeyx Nəsrullah İsfəhani."
31,Fazili-bimisl vә abidi-müqәddәs Şeyx Nәsrullah rәcәb ayının qürrәsindә Mәşhәdi-müqәddәsdәn çıxacaq.,Şeyx Nəsrullah rəcəb ayının qürrəsində Məşhədi-müqəddəsdən çıxacaq.
32,"Şeyx cәnablarının qәsdi bizim şәhәrimizdә bir gün qalıb vә әhli-qübur ziyarәtinә müşәrrәf olub, sonra yola düşüb getmәkdir.","Şeyx cənabları bir gün bizim şəhərdə qalıb, qəbir ziyarətinə qatıldılar, sonra yola çıxdılar."
33,"Ayın yeddisindә ya sәkkizindә şeyx cәnablarının pişvazına çıxıb, o pak vücuda layiqincә ehtiram göstәrsinlәr.",Ayın 7-si və ya 8-i şeyx cənablarının pişvazına çıxıb ehtiram göstərsinlər.
34,Bәlkә ağanın fәzilәtinin kәramәt vә mәrhәmәtindәn mәnim hәmşәhәrlilәrim bibәhrә qalmasınlar. ,Ağanın fəzilət və mərhəmətindən mənim həmşəhərlilərim faydalansınlar.
35,Hәr iki әlini göyә qalxızıb ağlayır.,Hər iki əlini qaldırıb ağlayır.
36,Allahın hikmәtinә әl aparmaq olmaz.,Allahın hikmətinə qarışmaq olmaz.
37,"A gәdә, ata arpa verin, yәhәr-әsbabı sazlayın. ","Ata, arpa verin, at üçün yem hazırlayın."
38,"Otaqlara fәrş salsınlar, qonaq gәlәcәk.","Otaqlara xalça sərilsin, qonaq gələcək."
39,Bir az çәpik tәrpәş!,Bir az sakit ol!
40,Elә deyәsәn tifil bu saat qabağımda can verir.,"Görünür, uşaq indi qabağımda ölür."
41,"Hey, Zeynәb, vallah, fәndini duymuşam!","Hey, Zeynəb, vallah, dərsini öyrənmisən!"
42,"Get dolanginәn, xamsәn hәnuz! ","Get dolaş, hələ iş bitməyib!"
43,"Allah-taalanın hәr bar bәlası gәrәk bizim vilayәtә nazil ola, Şeyx cәnabları yolda bir az naxoş olub. ","Allahın hər bəlası bu vilayətə düşsə, şeyx cənabları yolda bir az xəstə oldu."
44,"Dadaş, elәdә qonaqdan tәvәqqe elә ki, әvvәl qabaqca mәni diriltsin.","Dadaş, qonaqdan xahiş et ki, əvvəlcə məni dirildsin."
45,Ürәk dünyanın hәvavü hәvәs mәrәzinә mübtәla olan vaxt Allahı yada salmağ rәğbәt etmәz.,Ürək dünyaya bağlı olduqda Allahı xatırlamaq olmur.
46,"Mәrkubatın әşrәfi atdır ki, onu minәn hәmişә xәtadadır. ","Mərkubatın əşrəfi atdır ki, o həmişə səhvlidir."
47,Mәzaci-şәrifiniz inşallah sәlamәtdir?,"Ümid edirəm, mizacınız yaxşıdır?"
48,Allah-taala siz tәk ülәmanın sayәsini bizim üstümüzdәn әskik elәmәsin.,Allah-taala siz tək alimlərin köməyini bizdən əsirgəməsin.
49,"Ağayi-mәn, bu şәhәrdә sizdәn savayı da әcnәbi dәrsini oxuyan var, yainki siz iki nәfәrsiniz?","Ağayi-mən, bu şəhərdə sizdən başqa dərs oxuyan yoxdur, ya da yalnız siz ikinizsiniz?"
50,"Hacı Hәsәn ağanın oğlu da Firәngistanda oxuyub; amma çifayda ki, axırı peşimanlıq olub. ","Hacı Həsən ağanın oğlu da Fransada oxuyub, amma sonunda peşman oldu."
